audit_id,fold,source_group,image_name,original_image,rendered_image,person_count,evidence_count,max_person_iou,ambiguous_evidence_count,median_person_height,median_person_area_fraction,selection_score
A001,2,10_tunnel,10_tunnel (192).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\10_tunnel (192).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A001_10_tunnel (192).jpg,4,8,0.19354926733429742,6,224.49999999999994,0.008438223379629618,88.99282774278741
A002,2,10_tunnel,10_tunnel (172).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\10_tunnel (172).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A002_10_tunnel (172).jpg,8,14,0.14931630184007616,5,192.5000000000001,0.007848668981481484,77.966166490623
A003,2,10_tunnel,10_tunnel (71).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\10_tunnel (71).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A003_10_tunnel (71).jpg,7,14,0.05237385565254417,4,162.0000000000001,0.008705512152777773,65.7820067856921
A004,2,10_tunnel,10_tunnel (47).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\10_tunnel (47).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A004_10_tunnel (47).jpg,6,11,0.11566499271018935,4,187.4999999999999,0.007086950231481481,63.337075274324114
A005,0,11_tunnel,11_tunnel (1178).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\11_tunnel (1178).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A005_11_tunnel (1178).jpg,8,15,0.0954439807062705,9,247.5,0.010229311342592612,129.0484068209516
A006,0,11_tunnel,11_tunnel (248).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\11_tunnel (248).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A006_11_tunnel (248).jpg,5,9,0.13555936073059296,7,293.0,0.012434413580246897,106.95721397767629
A007,0,11_tunnel,11_tunnel (9).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\11_tunnel (9).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A007_11_tunnel (9).jpg,7,13,0.09631055239343184,6,234.99999999999994,0.012553047839506174,95.94267728319358
A008,0,11_tunnel,11_tunnel (929).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\11_tunnel (929).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A008_11_tunnel (929).jpg,4,7,0.1518229225969529,6,229.0,0.014758873456790137,95.86822922596953
A009,0,11_tunnel,11_tunnel (850).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\11_tunnel (850).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A009_11_tunnel (850).jpg,6,11,0.2351102161933026,6,166.0,0.011240837191358011,94.76235794897003
A010,1,1_tunnel,1_tunnel (161).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\1_tunnel (161).jpg,D:\Filez\DownLoad\论文3.0\experiments\manual_worker_ppe_association_audit_20260810_v1\annotated_images\A010_1_tunnel (161).jpg,7,10,0.03977724741447892,4,123.0,0.00574001736111111,61.00779851581145
