audit_id,fold,source_group,image_name,original_image,rendered_image,person_count,label_evidence_count,sampling_stratum,selection_seed
W0001,2,10_tunnel,10_tunnel (101).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\10_tunnel (101).jpg,audit\independent_worker_state_random_20260827_v1\annotated_images\W0001_10_tunnel (101).jpg,4,8,people_4+__evidence_5-9,20260827
W0002,2,10_tunnel,10_tunnel (106).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\10_tunnel (106).jpg,audit\independent_worker_state_random_20260827_v1\annotated_images\W0002_10_tunnel (106).jpg,8,16,people_4+__evidence_10+,20260827
W0003,2,10_tunnel,10_tunnel (108).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\10_tunnel (108).jpg,audit\independent_worker_state_random_20260827_v1\annotated_images\W0003_10_tunnel (108).jpg,2,4,people_2-3__evidence_1-4,20260827
W0004,2,10_tunnel,10_tunnel (132).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\10_tunnel (132).jpg,audit\independent_worker_state_random_20260827_v1\annotated_images\W0004_10_tunnel (132).jpg,1,2,people_single__evidence_1-4,20260827
W0005,2,10_tunnel,10_tunnel (136).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\10_tunnel (136).jpg,audit\independent_worker_state_random_20260827_v1\annotated_images\W0005_10_tunnel (136).jpg,8,14,people_4+__evidence_10+,20260827
W0006,2,10_tunnel,10_tunnel (146).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\10_tunnel (146).jpg,audit\independent_worker_state_random_20260827_v1\annotated_images\W0006_10_tunnel (146).jpg,3,5,people_2-3__evidence_5-9,20260827
W0007,2,10_tunnel,10_tunnel (150).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\10_tunnel (150).jpg,audit\independent_worker_state_random_20260827_v1\annotated_images\W0007_10_tunnel (150).jpg,2,4,people_2-3__evidence_1-4,20260827
W0008,2,10_tunnel,10_tunnel (153).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\10_tunnel (153).jpg,audit\independent_worker_state_random_20260827_v1\annotated_images\W0008_10_tunnel (153).jpg,4,7,people_4+__evidence_5-9,20260827
W0009,2,10_tunnel,10_tunnel (155).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\10_tunnel (155).jpg,audit\independent_worker_state_random_20260827_v1\annotated_images\W0009_10_tunnel (155).jpg,3,6,people_2-3__evidence_5-9,20260827
W0010,2,10_tunnel,10_tunnel (157).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\10_tunnel (157).jpg,audit\independent_worker_state_random_20260827_v1\annotated_images\W0010_10_tunnel (157).jpg,3,6,people_2-3__evidence_5-9,20260827
