audit_id,person_id,helmet_state,vest_state,overall_state,annotator_confidence,visibility_issue,notes
W0001,P1,,,,,,
W0001,P2,,,,,,
W0001,P3,,,,,,
W0001,P4,,,,,,
W0002,P1,,,,,,
W0002,P2,,,,,,
W0002,P3,,,,,,
W0002,P4,,,,,,
W0002,P5,,,,,,
W0002,P6,,,,,,
W0002,P7,,,,,,
W0002,P8,,,,,,
W0003,P1,,,,,,
W0003,P2,,,,,,
W0004,P1,,,,,,
W0005,P1,,,,,,
W0005,P2,,,,,,
W0005,P3,,,,,,
W0005,P4,,,,,,
W0005,P5,,,,,,
W0005,P6,,,,,,
W0005,P7,,,,,,
W0005,P8,,,,,,
W0006,P1,,,,,,
W0006,P2,,,,,,
W0006,P3,,,,,,
W0007,P1,,,,,,
W0007,P2,,,,,,
W0008,P1,,,,,,
W0008,P2,,,,,,
W0008,P3,,,,,,
W0008,P4,,,,,,
W0009,P1,,,,,,
W0009,P2,,,,,,
W0009,P3,,,,,,
W0010,P1,,,,,,
W0010,P2,,,,,,
W0010,P3,,,,,,
W0011,P1,,,,,,
W0011,P2,,,,,,
W0011,P3,,,,,,
W0011,P4,,,,,,
W0011,P5,,,,,,
W0011,P6,,,,,,
W0011,P7,,,,,,
W0011,P8,,,,,,
W0011,P9,,,,,,
W0012,P1,,,,,,
W0012,P2,,,,,,
W0012,P3,,,,,,
W0012,P4,,,,,,
W0013,P1,,,,,,
W0013,P2,,,,,,
W0013,P3,,,,,,
W0014,P1,,,,,,
W0014,P2,,,,,,
W0014,P3,,,,,,
W0014,P4,,,,,,
W0014,P5,,,,,,
W0014,P6,,,,,,
W0014,P7,,,,,,
W0015,P1,,,,,,
W0015,P2,,,,,,
W0016,P1,,,,,,
W0016,P2,,,,,,
W0016,P3,,,,,,
W0016,P4,,,,,,
W0016,P5,,,,,,
W0017,P1,,,,,,
W0017,P2,,,,,,
W0018,P1,,,,,,
W0019,P1,,,,,,
W0020,P1,,,,,,
W0021,P1,,,,,,
W0021,P2,,,,,,
W0021,P3,,,,,,
W0022,P1,,,,,,
W0023,P1,,,,,,
W0023,P2,,,,,,
W0024,P1,,,,,,
W0025,P1,,,,,,
W0025,P2,,,,,,
W0025,P3,,,,,,
W0025,P4,,,,,,
W0026,P1,,,,,,
W0026,P2,,,,,,
W0026,P3,,,,,,
W0026,P4,,,,,,
W0027,P1,,,,,,
W0028,P1,,,,,,
W0028,P2,,,,,,
W0028,P3,,,,,,
W0028,P4,,,,,,
W0028,P5,,,,,,
W0028,P6,,,,,,
W0029,P1,,,,,,
W0029,P2,,,,,,
W0029,P3,,,,,,
W0029,P4,,,,,,
W0029,P5,,,,,,
W0029,P6,,,,,,
W0030,P1,,,,,,
W0030,P2,,,,,,
W0030,P3,,,,,,
W0030,P4,,,,,,
W0030,P5,,,,,,
W0031,P1,,,,,,
W0032,P1,,,,,,
W0032,P2,,,,,,
W0032,P3,,,,,,
W0032,P4,,,,,,
W0032,P5,,,,,,
W0033,P1,,,,,,
W0033,P2,,,,,,
W0033,P3,,,,,,
W0033,P4,,,,,,
W0034,P1,,,,,,
W0034,P2,,,,,,
W0034,P3,,,,,,
W0034,P4,,,,,,
W0035,P1,,,,,,
W0036,P1,,,,,,
W0036,P2,,,,,,
W0036,P3,,,,,,
W0036,P4,,,,,,
W0036,P5,,,,,,
W0036,P6,,,,,,
W0036,P7,,,,,,
W0037,P1,,,,,,
W0037,P2,,,,,,
W0038,P1,,,,,,
W0038,P2,,,,,,
W0039,P1,,,,,,
W0039,P2,,,,,,
W0040,P1,,,,,,
W0040,P2,,,,,,
W0040,P3,,,,,,
W0041,P1,,,,,,
W0041,P2,,,,,,
W0042,P1,,,,,,
W0042,P2,,,,,,
W0042,P3,,,,,,
W0042,P4,,,,,,
W0042,P5,,,,,,
W0043,P1,,,,,,
W0043,P2,,,,,,
W0043,P3,,,,,,
W0044,P1,,,,,,
W0044,P2,,,,,,
W0045,P1,,,,,,
W0045,P2,,,,,,
W0045,P3,,,,,,
W0045,P4,,,,,,
W0046,P1,,,,,,
W0046,P2,,,,,,
W0046,P3,,,,,,
W0046,P4,,,,,,
W0047,P1,,,,,,
W0047,P2,,,,,,
W0047,P3,,,,,,
W0048,P1,,,,,,
W0048,P2,,,,,,
W0048,P3,,,,,,
W0049,P1,,,,,,
W0049,P2,,,,,,
W0050,P1,,,,,,
W0051,P1,,,,,,
W0051,P2,,,,,,
W0051,P3,,,,,,
W0051,P4,,,,,,
W0051,P5,,,,,,
W0052,P1,,,,,,
W0052,P2,,,,,,
W0052,P3,,,,,,
W0053,P1,,,,,,
W0053,P2,,,,,,
W0053,P3,,,,,,
W0053,P4,,,,,,
W0054,P1,,,,,,
W0054,P2,,,,,,
W0054,P3,,,,,,
W0054,P4,,,,,,
W0054,P5,,,,,,
