seed,fold,cell,method,source_group,rows,matched,unmatched,matched_exact,unsafe_n,unsafe_auto_safe_errors,unsafe_composite_errors,fallback_cells
0,0,r10_s0_f0,proposed_lexicographic,11_tunnel,64,49,15,0.5306122448979592,29,13,15,0
0,0,r10_s0_f0,proposed_lexicographic,5_tunnel,41,26,15,0.6538461538461539,16,5,9,0
0,0,r10_s0_f0,proposed_lexicographic,6_tunnel,71,66,5,0.42424242424242425,46,21,23,0
0,0,r10_s0_f0,proposed_lexicographic,8_tunnel,40,40,0,0.925,39,1,1,0
0,0,r10_s0_f0,max_iou,11_tunnel,64,49,15,0.5306122448979592,29,13,15,0
0,0,r10_s0_f0,max_iou,5_tunnel,41,26,15,0.6538461538461539,16,5,9,0
0,0,r10_s0_f0,max_iou,6_tunnel,71,66,5,0.42424242424242425,46,21,23,0
0,0,r10_s0_f0,max_iou,8_tunnel,40,40,0,0.9,39,1,1,0
0,0,r10_s0_f0,center_inside,11_tunnel,64,49,15,0.5102040816326531,29,13,15,0
0,0,r10_s0_f0,center_inside,5_tunnel,41,26,15,0.6538461538461539,16,5,9,0
0,0,r10_s0_f0,center_inside,6_tunnel,71,66,5,0.45454545454545453,46,21,23,0
0,0,r10_s0_f0,center_inside,8_tunnel,40,40,0,0.925,39,1,1,0
0,0,r10_s0_f0,hungarian_iou,11_tunnel,64,49,15,0.5306122448979592,29,13,15,0
0,0,r10_s0_f0,hungarian_iou,5_tunnel,41,26,15,0.6538461538461539,16,5,9,0
0,0,r10_s0_f0,hungarian_iou,6_tunnel,71,66,5,0.42424242424242425,46,21,23,0
0,0,r10_s0_f0,hungarian_iou,8_tunnel,40,40,0,0.925,39,1,1,0
0,0,r10_s0_f0,global_pooling,11_tunnel,64,49,15,0.14285714285714285,29,0,2,64
0,0,r10_s0_f0,global_pooling,5_tunnel,41,26,15,0.38461538461538464,16,0,4,41
0,0,r10_s0_f0,global_pooling,6_tunnel,71,66,5,0.15151515151515152,46,0,2,71
0,0,r10_s0_f0,global_pooling,8_tunnel,40,40,0,0.025,39,0,0,40
0,1,r10_s0_f1,proposed_lexicographic,1_tunnel,58,48,10,0.375,26,15,20,0
0,1,r10_s0_f1,proposed_lexicographic,2_tunnel,65,43,22,0.6046511627906976,14,8,11,0
0,1,r10_s0_f1,proposed_lexicographic,9_tunnel,73,67,6,0.6417910447761194,45,11,14,0
0,1,r10_s0_f1,max_iou,1_tunnel,58,48,10,0.375,26,15,20,0
0,1,r10_s0_f1,max_iou,2_tunnel,65,43,22,0.6046511627906976,14,7,10,0
0,1,r10_s0_f1,max_iou,9_tunnel,73,67,6,0.6268656716417911,45,11,14,0
0,1,r10_s0_f1,center_inside,1_tunnel,58,48,10,0.3541666666666667,26,15,20,0
0,1,r10_s0_f1,center_inside,2_tunnel,65,43,22,0.6046511627906976,14,7,10,0
0,1,r10_s0_f1,center_inside,9_tunnel,73,67,6,0.6567164179104478,45,11,14,0
0,1,r10_s0_f1,hungarian_iou,1_tunnel,58,48,10,0.375,26,16,21,0
0,1,r10_s0_f1,hungarian_iou,2_tunnel,65,43,22,0.6046511627906976,14,8,11,0
0,1,r10_s0_f1,hungarian_iou,9_tunnel,73,67,6,0.6268656716417911,45,11,14,0
0,1,r10_s0_f1,global_pooling,1_tunnel,58,48,10,0.1875,26,0,5,58
0,1,r10_s0_f1,global_pooling,2_tunnel,65,43,22,0.20930232558139536,14,0,3,65
0,1,r10_s0_f1,global_pooling,9_tunnel,73,67,6,0.16417910447761194,45,0,3,73
0,2,r10_s0_f2,proposed_lexicographic,10_tunnel,73,65,8,0.5846153846153846,27,13,17,0
0,2,r10_s0_f2,proposed_lexicographic,3_tunnel,66,49,17,0.40816326530612246,34,14,18,0
0,2,r10_s0_f2,proposed_lexicographic,4_tunnel,69,50,19,0.52,27,14,20,0
0,2,r10_s0_f2,proposed_lexicographic,7_tunnel,66,57,9,0.7719298245614035,39,6,9,0
0,2,r10_s0_f2,max_iou,10_tunnel,73,65,8,0.5692307692307692,27,13,17,0
0,2,r10_s0_f2,max_iou,3_tunnel,66,49,17,0.40816326530612246,34,14,18,0
0,2,r10_s0_f2,max_iou,4_tunnel,69,50,19,0.52,27,14,20,0
0,2,r10_s0_f2,max_iou,7_tunnel,66,57,9,0.7543859649122807,39,6,9,0
0,2,r10_s0_f2,center_inside,10_tunnel,73,65,8,0.5846153846153846,27,13,17,0
0,2,r10_s0_f2,center_inside,3_tunnel,66,49,17,0.40816326530612246,34,14,18,0
0,2,r10_s0_f2,center_inside,4_tunnel,69,50,19,0.52,27,12,18,0
0,2,r10_s0_f2,center_inside,7_tunnel,66,57,9,0.7719298245614035,39,6,9,0
0,2,r10_s0_f2,hungarian_iou,10_tunnel,73,65,8,0.5846153846153846,27,13,17,0
0,2,r10_s0_f2,hungarian_iou,3_tunnel,66,49,17,0.40816326530612246,34,14,18,0
0,2,r10_s0_f2,hungarian_iou,4_tunnel,69,50,19,0.54,27,14,20,0
0,2,r10_s0_f2,hungarian_iou,7_tunnel,66,57,9,0.7719298245614035,39,6,9,0
0,2,r10_s0_f2,global_pooling,10_tunnel,73,65,8,0.4307692307692308,27,23,27,0
0,2,r10_s0_f2,global_pooling,3_tunnel,66,49,17,0.46938775510204084,34,17,21,0
0,2,r10_s0_f2,global_pooling,4_tunnel,69,50,19,0.18,27,20,26,0
0,2,r10_s0_f2,global_pooling,7_tunnel,66,57,9,0.543859649122807,39,9,12,0
1,0,r10_s1_f0,proposed_lexicographic,11_tunnel,64,52,12,0.4230769230769231,29,15,17,0
1,0,r10_s1_f0,proposed_lexicographic,5_tunnel,41,25,16,0.6,16,4,9,0
1,0,r10_s1_f0,proposed_lexicographic,6_tunnel,71,68,3,0.5147058823529411,46,16,18,0
1,0,r10_s1_f0,proposed_lexicographic,8_tunnel,40,40,0,0.95,39,0,0,0
1,0,r10_s1_f0,max_iou,11_tunnel,64,52,12,0.4230769230769231,29,15,17,0
1,0,r10_s1_f0,max_iou,5_tunnel,41,25,16,0.6,16,4,9,0
1,0,r10_s1_f0,max_iou,6_tunnel,71,68,3,0.47058823529411764,46,16,18,0
1,0,r10_s1_f0,max_iou,8_tunnel,40,40,0,0.9,39,0,0,0
1,0,r10_s1_f0,center_inside,11_tunnel,64,52,12,0.38461538461538464,29,16,18,0
1,0,r10_s1_f0,center_inside,5_tunnel,41,25,16,0.6,16,4,9,0
1,0,r10_s1_f0,center_inside,6_tunnel,71,68,3,0.5147058823529411,46,16,18,0
1,0,r10_s1_f0,center_inside,8_tunnel,40,40,0,0.95,39,0,0,0
1,0,r10_s1_f0,hungarian_iou,11_tunnel,64,52,12,0.4230769230769231,29,15,17,0
1,0,r10_s1_f0,hungarian_iou,5_tunnel,41,25,16,0.68,16,4,9,0
1,0,r10_s1_f0,hungarian_iou,6_tunnel,71,68,3,0.5147058823529411,46,16,18,0
1,0,r10_s1_f0,hungarian_iou,8_tunnel,40,40,0,0.95,39,0,0,0
1,0,r10_s1_f0,global_pooling,11_tunnel,64,52,12,0.15384615384615385,29,0,2,64
1,0,r10_s1_f0,global_pooling,5_tunnel,41,25,16,0.4,16,0,5,41
1,0,r10_s1_f0,global_pooling,6_tunnel,71,68,3,0.17647058823529413,46,0,2,71
1,0,r10_s1_f0,global_pooling,8_tunnel,40,40,0,0.025,39,0,0,40
1,1,r10_s1_f1,proposed_lexicographic,1_tunnel,58,50,8,0.36,26,14,17,0
1,1,r10_s1_f1,proposed_lexicographic,2_tunnel,65,47,18,0.5319148936170213,14,7,11,0
1,1,r10_s1_f1,proposed_lexicographic,9_tunnel,73,65,8,0.7538461538461538,45,7,11,0
1,1,r10_s1_f1,max_iou,1_tunnel,58,50,8,0.36,26,14,17,0
1,1,r10_s1_f1,max_iou,2_tunnel,65,47,18,0.5319148936170213,14,7,11,0
