audit_id,fold,source_group,image_name,original_image,rendered_image,person_count,evidence_count,sampling_stratum,selection_seed
R001,2,10_tunnel,10_tunnel (105).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\10_tunnel (105).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R001_10_tunnel (105).jpg,9,15,people_4+__evidence_10+,20260812
R002,2,10_tunnel,10_tunnel (114).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\10_tunnel (114).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R002_10_tunnel (114).jpg,1,2,people_single__evidence_1-4,20260812
R003,2,10_tunnel,10_tunnel (124).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\10_tunnel (124).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R003_10_tunnel (124).jpg,3,6,people_2-3__evidence_5-9,20260812
R004,2,10_tunnel,10_tunnel (16).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\10_tunnel (16).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R004_10_tunnel (16).jpg,2,4,people_2-3__evidence_1-4,20260812
R005,2,10_tunnel,10_tunnel (188).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\10_tunnel (188).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R005_10_tunnel (188).jpg,4,4,people_4+__evidence_1-4,20260812
R006,2,10_tunnel,10_tunnel (96).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\10_tunnel (96).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R006_10_tunnel (96).jpg,4,6,people_4+__evidence_5-9,20260812
R007,0,11_tunnel,11_tunnel (1157).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\11_tunnel (1157).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R007_11_tunnel (1157).jpg,3,6,people_2-3__evidence_5-9,20260812
R008,0,11_tunnel,11_tunnel (191).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\11_tunnel (191).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R008_11_tunnel (191).jpg,1,2,people_single__evidence_1-4,20260812
R009,0,11_tunnel,11_tunnel (56).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\11_tunnel (56).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R009_11_tunnel (56).jpg,5,10,people_4+__evidence_10+,20260812
R010,0,11_tunnel,11_tunnel (789).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\11_tunnel (789).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R010_11_tunnel (789).jpg,6,3,people_4+__evidence_1-4,20260812
R011,0,11_tunnel,11_tunnel (808).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\11_tunnel (808).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R011_11_tunnel (808).jpg,2,2,people_2-3__evidence_1-4,20260812
R012,0,11_tunnel,11_tunnel (830).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold0\images\test\11_tunnel (830).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R012_11_tunnel (830).jpg,5,6,people_4+__evidence_5-9,20260812
R013,1,1_tunnel,1_tunnel (117).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\1_tunnel (117).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R013_1_tunnel (117).jpg,1,2,people_single__evidence_1-4,20260812
R014,1,1_tunnel,1_tunnel (122).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\1_tunnel (122).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R014_1_tunnel (122).jpg,4,7,people_4+__evidence_5-9,20260812
R015,1,1_tunnel,1_tunnel (150).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\1_tunnel (150).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R015_1_tunnel (150).jpg,3,6,people_2-3__evidence_5-9,20260812
R016,1,1_tunnel,1_tunnel (163).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\1_tunnel (163).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R016_1_tunnel (163).jpg,6,12,people_4+__evidence_10+,20260812
R017,1,1_tunnel,1_tunnel (184).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\1_tunnel (184).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R017_1_tunnel (184).jpg,2,3,people_2-3__evidence_1-4,20260812
R018,1,1_tunnel,1_tunnel (201).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\1_tunnel (201).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R018_1_tunnel (201).jpg,5,2,people_4+__evidence_1-4,20260812
R019,1,2_tunnel,2_tunnel (12).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\2_tunnel (12).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R019_2_tunnel (12).jpg,6,10,people_4+__evidence_10+,20260812
R020,1,2_tunnel,2_tunnel (140).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\2_tunnel (140).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R020_2_tunnel (140).jpg,4,3,people_4+__evidence_1-4,20260812
R021,1,2_tunnel,2_tunnel (148).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\2_tunnel (148).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R021_2_tunnel (148).jpg,2,1,people_2-3__evidence_1-4,20260812
R022,1,2_tunnel,2_tunnel (50).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\2_tunnel (50).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R022_2_tunnel (50).jpg,5,8,people_4+__evidence_5-9,20260812
R023,1,2_tunnel,2_tunnel (71).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\2_tunnel (71).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R023_2_tunnel (71).jpg,3,6,people_2-3__evidence_5-9,20260812
R024,1,2_tunnel,2_tunnel (81).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold1\images\test\2_tunnel (81).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R024_2_tunnel (81).jpg,1,2,people_single__evidence_1-4,20260812
R025,2,3_tunnel,3_tunnel (107).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\3_tunnel (107).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R025_3_tunnel (107).jpg,4,8,people_4+__evidence_5-9,20260812
R026,2,3_tunnel,3_tunnel (117).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\3_tunnel (117).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R026_3_tunnel (117).jpg,4,3,people_4+__evidence_1-4,20260812
R027,2,3_tunnel,3_tunnel (13).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\3_tunnel (13).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R027_3_tunnel (13).jpg,2,4,people_2-3__evidence_1-4,20260812
R028,2,3_tunnel,3_tunnel (195).jpg,D:\ppe_pilot\source_disjoint_protocol_20260805_v3\rate_10pct\seed0\fold2\images\test\3_tunnel (195).jpg,experiments\manual_worker_ppe_association_random_audit_20260812_v1\annotated_images\R028_3_tunnel (195).jpg,3,5,people_2-3__evidence_5-9,20260812
