audit_id,evidence_id,evidence_class_id,evidence_class,candidate_person_ids,assigned_person_id,assignment_confidence,occluded_or_ambiguous,notes
R001,E1,0,H+,P9,,,,
R001,E2,0,H+,P5|P6,,,,
R001,E3,0,H+,P8,,,,
R001,E4,0,H+,P3|P4,,,,
R001,E5,0,H+,P5|P6,,,,
R001,E6,0,H+,P1,,,,
R001,E7,0,H+,P1|P2,,,,
R001,E8,0,H+,P7,,,,
R001,E9,4,V+,P9,,,,
R001,E10,4,V+,P8,,,,
R001,E11,4,V+,P3|P4,,,,
R001,E12,4,V+,P3|P4|P5,,,,
R001,E13,4,V+,P5|P6,,,,
R001,E14,4,V+,P1,,,,
R001,E15,4,V+,P1|P2,,,,
R002,E1,0,H+,P1,,,,
R002,E2,4,V+,P1,,,,
R003,E1,0,H+,P2,,,,
R003,E2,0,H+,P1,,,,
R003,E3,0,H+,P3,,,,
R003,E4,2,V-,P2,,,,
R003,E5,2,V-,P3,,,,
R003,E6,4,V+,P1,,,,
R004,E1,0,H+,P1,,,,
R004,E2,0,H+,P2,,,,
R004,E3,4,V+,P1,,,,
R004,E4,4,V+,P2,,,,
R005,E1,0,H+,P1|P2,,,,
R005,E2,0,H+,P1|P2,,,,
R005,E3,4,V+,P1|P2,,,,
R005,E4,4,V+,P1|P2,,,,
R006,E1,0,H+,P1,,,,
R006,E2,0,H+,P2,,,,
R006,E3,2,V-,P1,,,,
R006,E4,4,V+,P3,,,,
R006,E5,4,V+,P3|P4,,,,
R006,E6,4,V+,P2,,,,
R007,E1,0,H+,P1,,,,
R007,E2,0,H+,P2,,,,
R007,E3,0,H+,P3,,,,
R007,E4,2,V-,P3,,,,
R007,E5,4,V+,P1,,,,
R007,E6,4,V+,P2,,,,
R008,E1,0,H+,P1,,,,
R008,E2,4,V+,P1,,,,
R009,E1,0,H+,P5,,,,
R009,E2,0,H+,P4,,,,
R009,E3,0,H+,P3,,,,
R009,E4,0,H+,P2,,,,
R009,E5,0,H+,P1,,,,
R009,E6,4,V+,P5,,,,
R009,E7,4,V+,P4,,,,
R009,E8,4,V+,P3|P4,,,,
R009,E9,4,V+,P2,,,,
R009,E10,4,V+,P1,,,,
R010,E1,0,H+,P6,,,,
R010,E2,4,V+,P4,,,,
R010,E3,4,V+,P6,,,,
R011,E1,0,H+,P2,,,,
R011,E2,4,V+,P2,,,,
R012,E1,0,H+,P1,,,,
R012,E2,1,H-,P4,,,,
R012,E3,4,V+,P4,,,,
R012,E4,4,V+,P2,,,,
R012,E5,4,V+,P3,,,,
R012,E6,4,V+,P1,,,,
R013,E1,0,H+,P1,,,,
R013,E2,2,V-,P1,,,,
R014,E1,0,H+,P2,,,,
R014,E2,0,H+,P4,,,,
R014,E3,0,H+,P3,,,,
R014,E4,4,V+,P1,,,,
R014,E5,4,V+,P2,,,,
R014,E6,4,V+,P4,,,,
R014,E7,4,V+,P3,,,,
R015,E1,0,H+,P1,,,,
R015,E2,0,H+,P2,,,,
R015,E3,0,H+,P3,,,,
R015,E4,4,V+,P1,,,,
R015,E5,4,V+,P2|P3,,,,
R015,E6,4,V+,P3,,,,
R016,E1,0,H+,P6,,,,
R016,E2,0,H+,P3,,,,
R016,E3,0,H+,P2,,,,
R016,E4,0,H+,P5,,,,
R016,E5,0,H+,P1,,,,
R016,E6,0,H+,P3|P4,,,,
R016,E7,4,V+,P6,,,,
R016,E8,4,V+,P3,,,,
R016,E9,4,V+,P2,,,,
R016,E10,4,V+,P5,,,,
R016,E11,4,V+,P1,,,,
R016,E12,4,V+,P4,,,,
R017,E1,0,H+,P2,,,,
R017,E2,4,V+,P1,,,,
R017,E3,4,V+,P2,,,,
R018,E1,0,H+,P5,,,,
R018,E2,4,V+,P1,,,,
R019,E1,0,H+,P2|P3|P4,,,,
R019,E2,0,H+,P3|P4,,,,
R019,E3,0,H+,P2,,,,
R019,E4,0,H+,P6,,,,
R019,E5,0,H+,P5,,,,
R019,E6,4,V+,P4,,,,
R019,E7,4,V+,P2,,,,
R019,E8,4,V+,P1,,,,
R019,E9,4,V+,P6,,,,
R019,E10,4,V+,P5,,,,
R020,E1,4,V+,P3,,,,
R020,E2,4,V+,P4,,,,
R020,E3,4,V+,P1,,,,
R021,E1,4,V+,P1,,,,
R022,E1,0,H+,P4,,,,
R022,E2,0,H+,,,,,
R022,E3,0,H+,P4|P5,,,,
R022,E4,0,H+,P1,,,,
R022,E5,4,V+,P3,,,,
R022,E6,4,V+,P2,,,,
R022,E7,4,V+,P4|P5,,,,
R022,E8,4,V+,P5,,,,
R023,E1,0,H+,P2,,,,
R023,E2,0,H+,P3,,,,
R023,E3,0,H+,P1|P2,,,,
R023,E4,4,V+,P1|P2|P3,,,,
R023,E5,4,V+,P2|P3,,,,
R023,E6,4,V+,P1|P2,,,,
R024,E1,1,H-,P1,,,,
R024,E2,4,V+,P1,,,,
R025,E1,0,H+,P2|P3,,,,
R025,E2,0,H+,P2|P3,,,,
R025,E3,0,H+,P1,,,,
R025,E4,0,H+,P4,,,,
R025,E5,4,V+,P2|P3,,,,
R025,E6,4,V+,P2|P3,,,,
R025,E7,4,V+,P1,,,,
