audit_id,person_id,helmet_state,vest_state,overall_state,annotator_confidence,notes
R001,P1,,,,,
R001,P2,,,,,
R001,P3,,,,,
R001,P4,,,,,
R001,P5,,,,,
R001,P6,,,,,
R001,P7,,,,,
R001,P8,,,,,
R001,P9,,,,,
R002,P1,,,,,
R003,P1,,,,,
R003,P2,,,,,
R003,P3,,,,,
R004,P1,,,,,
R004,P2,,,,,
R005,P1,,,,,
R005,P2,,,,,
R005,P3,,,,,
R005,P4,,,,,
R006,P1,,,,,
R006,P2,,,,,
R006,P3,,,,,
R006,P4,,,,,
R007,P1,,,,,
R007,P2,,,,,
R007,P3,,,,,
R008,P1,,,,,
R009,P1,,,,,
R009,P2,,,,,
R009,P3,,,,,
R009,P4,,,,,
R009,P5,,,,,
R010,P1,,,,,
R010,P2,,,,,
R010,P3,,,,,
R010,P4,,,,,
R010,P5,,,,,
R010,P6,,,,,
R011,P1,,,,,
R011,P2,,,,,
R012,P1,,,,,
R012,P2,,,,,
R012,P3,,,,,
R012,P4,,,,,
R012,P5,,,,,
R013,P1,,,,,
R014,P1,,,,,
R014,P2,,,,,
R014,P3,,,,,
R014,P4,,,,,
R015,P1,,,,,
R015,P2,,,,,
R015,P3,,,,,
R016,P1,,,,,
R016,P2,,,,,
R016,P3,,,,,
R016,P4,,,,,
R016,P5,,,,,
R016,P6,,,,,
R017,P1,,,,,
R017,P2,,,,,
R018,P1,,,,,
R018,P2,,,,,
R018,P3,,,,,
R018,P4,,,,,
R018,P5,,,,,
R019,P1,,,,,
R019,P2,,,,,
R019,P3,,,,,
R019,P4,,,,,
R019,P5,,,,,
R019,P6,,,,,
R020,P1,,,,,
R020,P2,,,,,
R020,P3,,,,,
R020,P4,,,,,
R021,P1,,,,,
R021,P2,,,,,
R022,P1,,,,,
R022,P2,,,,,
R022,P3,,,,,
R022,P4,,,,,
R022,P5,,,,,
R023,P1,,,,,
R023,P2,,,,,
R023,P3,,,,,
R024,P1,,,,,
R025,P1,,,,,
R025,P2,,,,,
R025,P3,,,,,
R025,P4,,,,,
R026,P1,,,,,
R026,P2,,,,,
R026,P3,,,,,
R026,P4,,,,,
R027,P1,,,,,
R027,P2,,,,,
R028,P1,,,,,
R028,P2,,,,,
R028,P3,,,,,
R029,P1,,,,,
R030,P1,,,,,
R030,P2,,,,,
R030,P3,,,,,
R030,P4,,,,,
R030,P5,,,,,
R030,P6,,,,,
R031,P1,,,,,
R031,P2,,,,,
R031,P3,,,,,
R031,P4,,,,,
R032,P1,,,,,
R032,P2,,,,,
R032,P3,,,,,
R032,P4,,,,,
R032,P5,,,,,
R032,P6,,,,,
R033,P1,,,,,
R033,P2,,,,,
R033,P3,,,,,
R033,P4,,,,,
R033,P5,,,,,
R033,P6,,,,,
R033,P7,,,,,
R034,P1,,,,,
R034,P2,,,,,
R034,P3,,,,,
R035,P1,,,,,
R035,P2,,,,,
R036,P1,,,,,
R037,P1,,,,,
R037,P2,,,,,
R038,P1,,,,,
R039,P1,,,,,
R039,P2,,,,,
R039,P3,,,,,
R040,P1,,,,,
R041,P1,,,,,
R041,P2,,,,,
R041,P3,,,,,
R041,P4,,,,,
R042,P1,,,,,
R042,P2,,,,,
R042,P3,,,,,
R042,P4,,,,,
R042,P5,,,,,
R042,P6,,,,,
R043,P1,,,,,
R044,P1,,,,,
R044,P2,,,,,
R044,P3,,,,,
R044,P4,,,,,
R044,P5,,,,,
R044,P6,,,,,
R045,P1,,,,,
R045,P2,,,,,
R046,P1,,,,,
R046,P2,,,,,
R046,P3,,,,,
R046,P4,,,,,
R047,P1,,,,,
R048,P1,,,,,
R048,P2,,,,,
R048,P3,,,,,
R049,P1,,,,,
R049,P2,,,,,
R049,P3,,,,,
R049,P4,,,,,
R049,P5,,,,,
R050,P1,,,,,
R051,P1,,,,,
R051,P2,,,,,
R052,P1,,,,,
R053,P1,,,,,
R053,P2,,,,,
R053,P3,,,,,
R054,P1,,,,,
R054,P2,,,,,
R054,P3,,,,,
R054,P4,,,,,
R054,P5,,,,,
R054,P6,,,,,
R054,P7,,,,,
R054,P8,,,,,
R054,P9,,,,,
R055,P1,,,,,
R056,P1,,,,,
R056,P2,,,,,
R057,P1,,,,,
R057,P2,,,,,
R058,P1,,,,,
R059,P1,,,,,
R059,P2,,,,,
R059,P3,,,,,
R060,P1,,,,,
R060,P2,,,,,
R060,P3,,,,,
R061,P1,,,,,
R061,P2,,,,,
R061,P3,,,,,
R061,P4,,,,,
R061,P5,,,,,
R061,P6,,,,,
R062,P1,,,,,
R063,P1,,,,,
R063,P2,,,,,
R063,P3,,,,,
R063,P4,,,,,
R064,P1,,,,,
R064,P2,,,,,
R064,P3,,,,,
R065,P1,,,,,
R065,P2,,,,,
R066,P1,,,,,
R066,P2,,,,,
R066,P3,,,,,
R066,P4,,,,,
