dimension,stratum,method,all_rows,determinate_rows,ambiguous_rows,candidate_owner_recall_count,candidate_owner_recall_denom,exact_correct_determinate,exact_accuracy_determinate,conservative_correct_all_rows,conservative_accuracy_all_rows,extra_owner_links_determinate
crowd_stratum,2--3 persons,proposed_lexicographic,109,107,2,107,107,107,1.0,107,0.981651376146789,0
crowd_stratum,2--3 persons,center_inside,109,107,2,107,107,105,0.9813084112149533,105,0.963302752293578,1
crowd_stratum,2--3 persons,hungarian_iou,109,107,2,107,107,106,0.9906542056074766,106,0.9724770642201835,1
crowd_stratum,2--3 persons,max_iou,109,107,2,107,107,106,0.9906542056074766,106,0.9724770642201835,1
crowd_stratum,2--3 persons,global_pooling,109,107,2,107,107,0,0.0,0,0.0,175
crowd_stratum,4+ persons,proposed_lexicographic,194,183,11,182,183,182,0.994535519125683,182,0.9381443298969072,0
crowd_stratum,4+ persons,center_inside,194,183,11,182,183,181,0.9890710382513661,181,0.9329896907216495,1
crowd_stratum,4+ persons,hungarian_iou,194,183,11,182,183,182,0.994535519125683,182,0.9381443298969072,0
crowd_stratum,4+ persons,max_iou,194,183,11,182,183,181,0.9890710382513661,181,0.9329896907216495,1
crowd_stratum,4+ persons,global_pooling,194,183,11,182,183,0,0.0,0,0.0,859
crowd_stratum,single person,proposed_lexicographic,31,31,0,31,31,31,1.0,31,1.0,0
crowd_stratum,single person,center_inside,31,31,0,31,31,31,1.0,31,1.0,0
crowd_stratum,single person,hungarian_iou,31,31,0,31,31,31,1.0,31,1.0,0
crowd_stratum,single person,max_iou,31,31,0,31,31,31,1.0,31,1.0,0
crowd_stratum,single person,global_pooling,31,31,0,31,31,31,1.0,31,1.0,0
candidate_competition,2+ eligible owners,proposed_lexicographic,55,48,7,48,48,48,1.0,48,0.8727272727272727,0
candidate_competition,2+ eligible owners,center_inside,55,48,7,48,48,46,0.9583333333333334,46,0.8363636363636363,2
candidate_competition,2+ eligible owners,hungarian_iou,55,48,7,48,48,47,0.9791666666666666,47,0.8545454545454545,1
candidate_competition,2+ eligible owners,max_iou,55,48,7,48,48,46,0.9583333333333334,46,0.8363636363636363,2
candidate_competition,2+ eligible owners,global_pooling,55,48,7,48,48,0,0.0,0,0.0,211
candidate_competition,no eligible owner,proposed_lexicographic,1,1,0,0,1,0,0.0,0,0.0,0
candidate_competition,no eligible owner,center_inside,1,1,0,0,1,0,0.0,0,0.0,0
candidate_competition,no eligible owner,hungarian_iou,1,1,0,0,1,0,0.0,0,0.0,0
candidate_competition,no eligible owner,max_iou,1,1,0,0,1,0,0.0,0,0.0,0
candidate_competition,no eligible owner,global_pooling,1,1,0,0,1,0,0.0,0,0.0,4
candidate_competition,one eligible owner,proposed_lexicographic,278,272,6,272,272,272,1.0,272,0.9784172661870504,0
candidate_competition,one eligible owner,center_inside,278,272,6,272,272,271,0.9963235294117647,271,0.9748201438848921,0
candidate_competition,one eligible owner,hungarian_iou,278,272,6,272,272,272,1.0,272,0.9784172661870504,0
candidate_competition,one eligible owner,max_iou,278,272,6,272,272,272,1.0,272,0.9784172661870504,0
candidate_competition,one eligible owner,global_pooling,278,272,6,272,272,31,0.11397058823529412,31,0.11151079136690648,819
